x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5329976E+01 1.7850580E-02 6.0205709E-02 -3.0506192E-03 0.0000000E+00 7.3983530E-03 1.3932536E-03 1.0758034E-02 0.0000000E+00 6.3754579E-03 2.0193359E-03 8.8180607E-03 9.7558410E-03 0.0000000E+00 0.0000000E+00 5.5379651E+00 8.5072048E+00 1.9113663E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5312915E+01 3.0175391E-02 1.0035099E-01 -2.7816250E-03 9.8298652E-04 8.0814740E-03 3.2574981E-03 8.6420713E-03 1.3894604E-05 5.6053219E-03 1.6221593E-03 7.5775833E-03 1.7684069E-02 2.9397957E-03 1.4118357E-05 2.6614378E+00 1.7452011E+01 -4.0013806E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5291564E+01 5.3277021E-02 1.4696706E-01 -2.5395208E-03 2.5173488E-03 8.4548531E-03 4.6939300E-03 6.7376302E-03 3.3336016E-05 5.2428999E-03 1.2646863E-03 6.7753195E-03 2.4820409E-02 7.5242240E-03 3.5699809E-05 2.3186182E+00 1.7867809E+01 -9.4066984E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5273515E+01 7.4287399E-02 1.8626772E-01 -2.3530592E-03 3.9383180E-03 8.6995077E-03 5.7573168E-03 5.2708854E-03 5.3189031E-05 5.0881157E-03 9.8937112E-04 6.2700905E-03 3.0317013E-02 1.1768255E-02 5.5476719E-05 2.1929368E+00 1.8022533E+01 -1.3121470E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5259972E+01 9.0486241E-02 2.1606480E-01 -2.2184603E-03 5.0698750E-03 8.8969425E-03 6.5457607E-03 4.2121024E-03 7.0565984E-05 5.0315919E-03 7.9063233E-04 5.9549065E-03 3.4285047E-02 1.5147133E-02 7.1030554E-05 2.1335211E+00 1.8095032E+01 -1.5488194E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5250239E+01 1.0227343E-01 2.3780133E-01 -2.1235169E-03 5.9211544E-03 9.0734995E-03 7.1392035E-03 3.4652586E-03 8.4475854E-05 5.0192556E-03 6.5044608E-04 5.7576219E-03 3.7084169E-02 1.7688788E-02 8.2507033E-05 2.1031662E+00 1.8131644E+01 -1.6942373E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5243326E+01 1.1069777E-01 2.5347872E-01 -2.0567224E-03 6.5455383E-03 9.2360026E-03 7.5949938E-03 2.9398396E-03 9.5172184E-05 5.0236773E-03 5.5182235E-04 5.6309822E-03 3.9053499E-02 1.9552906E-02 9.0735867E-05 2.0871145E+00 1.8150830E+01 -1.7826004E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5238414E+01 1.1669262E-01 2.6479472E-01 -2.0093525E-03 6.9988829E-03 9.3855714E-03 7.9525587E-03 2.5672181E-03 1.0323564E-04 5.0321450E-03 4.8187946E-04 5.5462882E-03 4.0450191E-02 2.0906368E-02 9.6571034E-05 2.0784813E+00 1.8161096E+01 -1.8365009E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5234896E+01 1.2097266E-01 2.7302704E-01 -1.9752802E-03 7.3276737E-03 9.5221996E-03 8.2387943E-03 2.2991988E-03 1.0925003E-04 5.0395299E-03 4.3157093E-04 5.4867700E-03 4.1454849E-02 2.1887994E-02 1.0070442E-04 2.0738039E+00 1.8166665E+01 -1.8698280E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5232346E+01 1.2405446E-01 2.7909182E-01 -1.9503280E-03 7.5673232E-03 9.6460493E-03 8.4722067E-03 2.1029193E-03 1.1372030E-04 5.0442568E-03 3.9472829E-04 5.4427489E-03 4.2190628E-02 2.2603512E-02 1.0364851E-04 2.0712680E+00 1.8169702E+01 -1.8908743E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5230469E+01 1.2630155E-01 2.8363200E-01 -1.9316758E-03 7.7437017E-03 9.7576731E-03 8.6657300E-03 1.9561977E-03 1.1705604E-04 5.0462927E-03 3.6718792E-04 5.4086102E-03 4.2740658E-02 2.3130151E-02 1.0576701E-04 2.0698979E+00 1.8171373E+01 -1.9045503E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5229060E+01 1.2796581E-01 2.8709384E-01 -1.9174226E-03 7.8752405E-03 9.8579290E-03 8.8285701E-03 1.8440792E-03 1.1956955E-04 5.0461212E-03 3.4614273E-04 5.3810430E-03 4.3160988E-02 2.3522932E-02 1.0731254E-04 2.0691613E+00 1.8172301E+01 -1.9137618E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.5000000E+01 10 5.5227982E+01 1.2922081E-01 2.8978620E-01 -1.9062820E-03 7.9749086E-03 9.9478438E-03 8.9674021E-03 1.7564447E-03 1.2149196E-04 5.0443202E-03 3.2969331E-04 5.3580489E-03 4.3489542E-02 2.3820566E-02 1.0845870E-04 2.0687642E+00 1.8172833E+01 -1.9202401E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.6000000E+01 10 5.5222454E+01 1.4015955E-01 3.1706100E-01 -1.9041690E-03 9.9204732E-03 1.1955972E-02 1.0984808E-02 1.7398233E-03 1.3829959E-04 6.0071879E-03 3.2657338E-04 6.3053505E-03 4.3568199E-02 2.9633422E-02 1.3885191E-04 2.0681249E+00 1.8213963E+01 -1.9243087E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.7000000E+01 10 5.5222336E+01 1.4023125E-01 3.1719921E-01 -1.9021625E-03 9.9138143E-03 1.1948671E-02 1.0986318E-02 1.7240397E-03 1.3998631E-04 5.9951625E-03 3.2361073E-04 6.2882727E-03 4.3626357E-02 2.9613143E-02 1.3691538E-04 2.0647313E+00 1.8234015E+01 -1.9395917E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.2000000E+01 10 5.5224474E+01 1.3028416E-01 2.9245557E-01 -1.8661991E-03 7.8881721E-03 9.9212589E-03 8.9944866E-03 1.6602970E-03 1.2278008E-04 4.9438471E-03 3.1164591E-04 5.2364505E-03 4.4331825E-02 2.3561289E-02 1.0531704E-04 2.0311752E+00 1.8502878E+01 -2.0978143E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.7000000E+01 10 5.5219466E+01 1.3283115E-01 2.9800794E-01 -1.8204247E-03 8.0031104E-03 9.9721426E-03 9.0747073E-03 1.6077402E-03 1.3567707E-04 4.9715406E-03 3.0178074E-04 5.2485128E-03 4.5232281E-02 2.3904202E-02 1.3116748E-04 2.0122252E+00 1.8609244E+01 -2.2023991E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.2000000E+01 10 5.5214668E+01 1.3564410E-01 3.0403152E-01 -1.7790554E-03 8.1845248E-03 1.0059429E-02 9.1866429E-03 1.5635807E-03 1.5368169E-04 5.0383058E-03 2.9349178E-04 5.2992471E-03 4.6051071E-02 2.4445357E-02 1.6215137E-04 2.0027889E+00 1.8661069E+01 -2.2638401E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.7000000E+01 10 5.5210830E+01 1.3802869E-01 3.0914868E-01 -1.7465269E-03 8.3537760E-03 1.0149980E-02 9.2982589E-03 1.5258432E-03 1.7105323E-04 5.1026028E-03 2.8640827E-04 5.3494638E-03 4.6704932E-02 2.4950234E-02 1.8958170E-04 1.9979877E+00 1.8688714E+01 -2.3007141E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.1000000E+01 10 5.5207048E+01 1.4232385E-01 3.1910426E-01 -1.7260527E-03 8.9495978E-03 1.0668100E-02 9.8313659E-03 1.4989948E-03 1.9409042E-04 5.3871729E-03 2.8136869E-04 5.6186324E-03 4.7138605E-02 2.6729372E-02 2.2460227E-04 1.9890219E+00 1.8711202E+01 -2.3537576E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.2000000E+01 10 5.5202327E+01 1.5107719E-01 3.4052652E-01 -1.7212720E-03 1.0468014E-02 1.2154723E-02 1.1321625E-02 1.4924804E-03 2.3022893E-04 6.1442914E-03 2.8014591E-04 6.3611167E-03 4.7290618E-02 3.1265395E-02 2.8651165E-04 1.9861583E+00 1.8719613E+01 -2.3700119E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.7000000E+01 10 5.5202365E+01 1.4101958E-01 3.1665682E-01 -2.1590337E-03 8.4002955E-03 1.0162102E-02 9.3449945E-03 1.4638344E-03 1.9407186E-04 5.0911288E-03 2.7476891E-04 5.3191218E-03 4.8309362E-02 2.5088277E-02 2.1816151E-04 1.9620012E+00 1.8758197E+01 -2.5188306E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0200000E+02 10 5.5194916E+01 1.4395104E-01 3.2399084E-01 -2.7849006E-03 8.5444074E-03 1.0217870E-02 9.4149818E-03 1.4383599E-03 2.0572407E-04 5.1501107E-03 2.6998722E-04 5.3670040E-03 4.9614542E-02 2.5518072E-02 2.3719286E-04 1.9469166E+00 1.8788034E+01 -2.6303244E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0700000E+02 10 5.5188150E+01 1.4689987E-01 3.3118956E-01 -3.3593942E-03 8.7270145E-03 1.0297697E-02 9.5075759E-03 1.4154886E-03 2.1785745E-04 5.2303772E-03 2.6569417E-04 5.4354281E-03 5.0772341E-02 2.6062661E-02 2.5474484E-04 1.9385878E+00 1.8806889E+01 -2.7039835E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1200000E+02 10 5.5182852E+01 1.4932860E-01 3.3707599E-01 -3.8049658E-03 8.8899618E-03 1.0376659E-02 9.5980946E-03 1.3947855E-03 2.2890361E-04 5.3017812E-03 2.6180810E-04 5.4962997E-03 5.1676704E-02 2.6548635E-02 2.6931958E-04 1.9339359E+00 1.8818446E+01 -2.7519629E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1700000E+02 10 5.5178944E+01 1.5118346E-01 3.4156479E-01 -4.1269773E-03 9.0195049E-03 1.0446348E-02 9.6783183E-03 1.3759127E-03 2.3821043E-04 5.3570602E-03 2.5826558E-04 5.5427819E-03 5.2348588E-02 2.6935005E-02 2.8062735E-04 1.9312455E+00 1.8825575E+01 -2.7835484E-02
