x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605062E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 1.1068788E+01 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5327379E+01 2.0033950E-02 6.4012850E-02 -3.0135114E-03 0.0000000E+00 7.1975946E-03 1.3554469E-03 1.0466109E-02 0.0000000E+00 6.2024564E-03 1.9645401E-03 8.5787778E-03 1.0847825E-02 0.0000000E+00 0.0000000E+00 2.3223970E+00 1.8068248E+01 -7.7512393E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5308298E+01 3.4598425E-02 1.0761458E-01 -2.7224232E-03 1.0805743E-03 7.7332821E-03 3.1692911E-03 8.1763129E-03 4.0504483E-05 5.3791650E-03 1.5347341E-03 7.2428101E-03 1.9418221E-02 3.2309581E-03 5.3161197E-06 1.9743442E+00 1.8492540E+01 -1.9035054E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5286258E+01 5.8377723E-02 1.5524593E-01 -2.4718309E-03 2.6268310E-03 8.0328499E-03 4.5691997E-03 6.2050709E-03 1.0652461E-04 4.9842679E-03 1.1647223E-03 6.3902646E-03 2.6796945E-02 7.8501689E-03 1.3560158E-05 1.8567174E+00 1.8646850E+01 -2.6576054E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5267906E+01 7.9649848E-02 1.9504231E-01 -2.2812852E-03 4.0595307E-03 8.2301239E-03 5.6031524E-03 4.7061752E-03 1.7351499E-04 4.8167327E-03 8.8337222E-04 5.8639360E-03 3.2408133E-02 1.2128871E-02 2.1741658E-05 1.8034784E+00 1.8720074E+01 -3.1326611E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5254150E+01 9.6054809E-02 2.2519554E-01 -2.1440870E-03 5.2021420E-03 8.3919920E-03 6.3674524E-03 3.6269284E-03 2.2835308E-04 4.7539335E-03 6.8079230E-04 5.5370534E-03 3.6448750E-02 1.5540545E-02 2.8591813E-05 1.7769058E+00 1.8758207E+01 -3.4256774E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5244261E+01 1.0799924E-01 2.4719599E-01 -2.0473074E-03 6.0628570E-03 8.5410170E-03 6.9414326E-03 2.8656285E-03 2.6934310E-04 4.7380602E-03 5.3789256E-04 5.3322235E-03 3.9299260E-02 1.8110209E-02 3.3904509E-05 1.7633760E+00 1.8778729E+01 -3.6032560E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5237220E+01 1.1656128E-01 2.6309785E-01 -1.9790879E-03 6.6963885E-03 8.6823874E-03 7.3823522E-03 2.3289911E-03 2.9812612E-04 4.7406601E-03 4.3716308E-04 5.2006242E-03 4.1308750E-02 2.0001511E-02 3.7874841E-05 1.7565336E+00 1.8789954E+01 -3.7104200E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5232181E+01 1.2270058E-01 2.7465014E-01 -1.9304284E-03 7.1602704E-03 8.8160525E-03 7.7296794E-03 1.9462191E-03 3.1838458E-04 4.7485576E-03 3.6531489E-04 5.1126218E-03 4.2742202E-02 2.1386340E-02 4.0797915E-05 1.7532010E+00 1.8796124E+01 -3.7754976E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5228525E+01 1.2714775E-01 2.8316013E-01 -1.8950317E-03 7.5018741E-03 8.9411486E-03 8.0102009E-03 1.6677772E-03 3.3249363E-04 4.7562880E-03 3.1304997E-04 5.0507651E-03 4.3785041E-02 2.2406157E-02 4.2947783E-05 1.7517017E+00 1.8799516E+01 -3.8156500E-02
