x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5326943E+01 2.0400508E-02 6.4652009E-02 -3.0072774E-03 0.0000000E+00 7.1638898E-03 1.3490996E-03 1.0417098E-02 0.0000000E+00 6.1734116E-03 1.9553406E-03 8.5386052E-03 1.1031152E-02 0.0000000E+00 0.0000000E+00 4.9311419E+00 1.5443118E+01 4.8568715E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5307725E+01 3.5133186E-02 1.0837383E-01 -2.7148723E-03 1.0758615E-03 7.6857040E-03 3.1548320E-03 8.1169806E-03 3.8776738E-05 5.3419254E-03 1.5235972E-03 7.1915086E-03 1.9640525E-02 3.2167830E-03 5.7487899E-06 2.4172520E+00 1.8037707E+01 -7.1879521E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5285475E+01 5.9163882E-02 1.5640105E-01 -2.4621893E-03 2.6379389E-03 7.9723051E-03 4.5509361E-03 6.1293248E-03 1.0201933E-04 4.9451801E-03 1.1505044E-03 6.3333519E-03 2.7081030E-02 7.8831761E-03 1.4459314E-05 2.1769991E+00 1.8315945E+01 -1.3376198E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5266728E+01 8.0916065E-02 1.9699280E-01 -2.2677904E-03 4.1049477E-03 8.1489208E-03 5.5811359E-03 4.6001434E-03 1.6841186E-04 4.7770497E-03 8.6346954E-04 5.7989089E-03 3.2805759E-02 1.2264246E-02 2.3082400E-05 2.0791968E+00 1.8434741E+01 -1.7530107E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5252523E+01 9.7885120E-02 2.2802381E-01 -2.1264739E-03 5.2848569E-03 8.2865034E-03 6.3392237E-03 3.4885187E-03 2.2525648E-04 4.7143069E-03 6.5481212E-04 5.4632246E-03 3.6967661E-02 1.5787139E-02 3.0311302E-05 2.0306564E+00 1.8495569E+01 -2.0208636E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5242268E+01 1.1029322E-01 2.5072925E-01 -2.0263697E-03 6.1761584E-03 8.4115187E-03 6.9037858E-03 2.7010780E-03 2.6905061E-04 4.6988936E-03 5.0700562E-04 5.2513106E-03 3.9916069E-02 1.8447953E-02 3.5917357E-05 2.0049294E+00 1.8528769E+01 -2.1891826E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5234966E+01 1.1919245E-01 2.6711746E-01 -1.9558841E-03 6.8318835E-03 8.5309194E-03 7.3326807E-03 2.1466244E-03 3.0067831E-04 4.7025648E-03 4.0293195E-04 5.1154418E-03 4.1992272E-02 2.0405361E-02 4.0101130E-05 1.9909251E+00 1.8547459E+01 -2.2937354E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5229757E+01 1.2556256E-01 2.7897284E-01 -1.9058658E-03 7.3110557E-03 8.6450255E-03 7.6664118E-03 1.7531699E-03 3.2300069E-04 4.7121212E-03 3.2907861E-04 5.0258188E-03 4.3465717E-02 2.1835719E-02 4.3174332E-05 1.9832168E+00 1.8558193E+01 -2.3587529E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5225997E+01 1.3016222E-01 2.8765505E-01 -1.8697577E-03 7.6629766E-03 8.7527468E-03 7.9326797E-03 1.4691363E-03 3.3864180E-04 4.7218545E-03 2.7576411E-04 4.9642686E-03 4.4529480E-02 2.2886257E-02 4.5428089E-05 1.9789480E+00 1.8564472E+01 -2.3997060E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+01 9 5.5223231E+01 1.3353520E-01 2.9413076E-01 -1.8430896E-03 7.9245965E-03 8.8532347E-03 8.1502642E-03 1.2593597E-03 3.4953928E-04 4.7296592E-03 2.3638801E-04 4.9199121E-03 4.5315204E-02 2.3667278E-02 4.7093451E-05 1.9765935E+00 1.8568200E+01 -2.4260736E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.5000000E+01 9 5.5221154E+01 1.3605549E-01 2.9906438E-01 -1.8228855E-03 8.1222196E-03 8.9461684E-03 8.3319120E-03 1.1004299E-03 3.5733791E-04 4.7350418E-03 2.0655611E-04 4.8862823E-03 4.5910534E-02 2.4257290E-02 4.8340368E-05 1.9752815E+00 1.8570475E+01 -2.4436270E-02
