x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5327493E+01 1.9938326E-02 6.3846102E-02 -3.0151332E-03 0.0000000E+00 7.2063870E-03 1.3571027E-03 1.0478894E-02 0.0000000E+00 6.2100331E-03 1.9669400E-03 8.5892574E-03 1.0799998E-02 0.0000000E+00 0.0000000E+00 5.1036916E+00 1.5265781E+01 7.3646241E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5309104E+01 3.3742492E-02 1.0599800E-01 -2.7317416E-03 1.0176061E-03 7.7842317E-03 3.1792885E-03 8.2496781E-03 3.7359336E-05 5.3914003E-03 1.5485051E-03 7.2715298E-03 1.9143952E-02 3.0425058E-03 5.2635262E-06 2.4610221E+00 1.7990319E+01 -6.4737027E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5287672E+01 5.6753351E-02 1.5273828E-01 -2.4866690E-03 2.5503550E-03 8.1180871E-03 4.5892305E-03 6.3218870E-03 9.7402156E-05 5.0143511E-03 1.1866493E-03 6.4492550E-03 2.6360174E-02 7.6217732E-03 1.3458318E-05 2.2122966E+00 1.8277601E+01 -1.2281415E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5269463E+01 7.7932631E-02 1.9234401E-01 -2.2984995E-03 3.9840719E-03 8.3377751E-03 5.6351498E-03 4.8417075E-03 1.5938005E-04 4.8578972E-03 9.0881231E-04 5.9394231E-03 3.1901354E-02 1.1903870E-02 2.1588019E-05 2.1128486E+00 1.8398204E+01 -1.6153031E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5255771E+01 9.4269318E-02 2.2244803E-01 -2.1620457E-03 5.1277135E-03 8.5152520E-03 6.4117805E-03 3.7683337E-03 2.1179544E-04 4.7989572E-03 7.0733477E-04 5.6180585E-03 3.5920016E-02 1.5318809E-02 2.8383644E-05 2.0638874E+00 1.8459453E+01 -1.8636926E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5245929E+01 1.0614314E-01 2.4440391E-01 -2.0655512E-03 5.9859220E-03 8.6770231E-03 6.9972481E-03 3.0092885E-03 2.5150257E-04 4.7831536E-03 5.6485824E-04 5.4138704E-03 3.8762109E-02 1.7881071E-02 3.3637659E-05 2.0381978E+00 1.8492570E+01 -2.0185527E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5238944E+01 1.1461633E-01 2.6022368E-01 -1.9976149E-03 6.6135103E-03 8.8302423E-03 7.4487683E-03 2.4748872E-03 2.8004587E-04 4.7841232E-03 4.6454849E-04 5.2811578E-03 4.0763250E-02 1.9754663E-02 3.7544326E-05 2.0243375E+00 1.8511067E+01 -2.1140017E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5233970E+01 1.2065307E-01 2.7166672E-01 -1.9492997E-03 7.0696877E-03 8.9755124E-03 7.8061854E-03 2.0948296E-03 3.0000922E-04 4.7897557E-03 3.9320981E-04 5.1916018E-03 4.2186557E-02 2.1116511E-02 4.0402272E-05 2.0168265E+00 1.8521564E+01 -2.1729017E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5230379E+01 1.2499881E-01 2.8006681E-01 -1.9142465E-03 7.4034981E-03 9.1119748E-03 8.0965623E-03 1.8190942E-03 3.1389626E-04 4.7950945E-03 3.4145293E-04 5.1282232E-03 4.3219276E-02 2.2113083E-02 4.2490652E-05 2.0127485E+00 1.8527626E+01 -2.2097607E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+01 9 5.5227731E+01 1.2818357E-01 2.8636551E-01 -1.8881508E-03 7.6514044E-03 9.2389394E-03 8.3381103E-03 1.6138202E-03 3.2361276E-04 4.7985270E-03 3.0292199E-04 5.0810108E-03 4.3988167E-02 2.2853239E-02 4.4030822E-05 2.0105268E+00 1.8531209E+01 -2.2334153E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.5000000E+01 9 5.5225729E+01 1.3056905E-01 2.9120453E-01 -1.8681684E-03 7.8390984E-03 9.3562045E-03 8.5431156E-03 1.4566350E-03 3.3063593E-04 4.7998394E-03 2.7341756E-04 5.0440790E-03 4.4576990E-02 2.3413668E-02 4.5184881E-05 2.0093414E+00 1.8533355E+01 -2.2490824E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.0000000E+01 9 5.5224178E+01 1.3239902E-01 2.9501541E-01 -1.8524351E-03 7.9842778E-03 9.4639766E-03 8.7199710E-03 1.3328734E-03 3.3575778E-04 4.7993502E-03 2.5018689E-04 5.0139580E-03 4.5040654E-02 2.3847191E-02 4.6066871E-05 2.0087310E+00 1.8534662E+01 -2.2598634E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.5000000E+01 9 5.5222945E+01 1.3383602E-01 2.9808765E-01 -1.8397244E-03 8.0989986E-03 9.5627239E-03 8.8745294E-03 1.2328888E-03 3.3964725E-04 4.7974960E-03 2.3141930E-04 4.9885497E-03 4.5415276E-02 2.4189789E-02 4.6755303E-05 2.0084468E+00 1.8535463E+01 -2.2675993E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.6000000E+01 9 5.5216960E+01 1.4564299E-01 3.2647653E-01 -1.8372944E-03 1.0124802E-02 1.1562335E-02 1.0884811E-02 1.2137731E-03 4.0782296E-04 5.8008529E-03 2.2783118E-04 5.9712269E-03 4.5492615E-02 3.0241652E-02 5.6746851E-05 2.0057452E+00 1.8534536E+01 -2.2822756E-02
