x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5326482E+01 2.0788046E-02 6.5327757E-02 -3.0006903E-03 0.0000000E+00 7.1282561E-03 1.3423891E-03 1.0365283E-02 0.0000000E+00 6.1427046E-03 1.9456146E-03 8.4961336E-03 1.1224973E-02 0.0000000E+00 0.0000000E+00 4.7179598E+00 1.5660128E+01 2.7687975E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5307203E+01 3.5837227E-02 1.0899426E-01 -2.7106717E-03 1.0858972E-03 7.6222424E-03 3.1098150E-03 8.0839375E-03 4.0913198E-05 5.3277264E-03 1.5173948E-03 7.1690033E-03 1.9763793E-02 3.2469905E-03 5.4629698E-06 2.4026232E+00 1.8054587E+01 -7.4410104E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5285884E+01 5.8725508E-02 1.5497049E-01 -2.4669079E-03 2.5521729E-03 7.9358198E-03 4.4937321E-03 6.1664420E-03 1.0566102E-04 4.9256024E-03 1.1574715E-03 6.3199467E-03 2.6941587E-02 7.6269220E-03 1.3511585E-05 2.1726902E+00 1.8321039E+01 -1.3489894E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5268453E+01 7.8710428E-02 1.9297082E-01 -2.2831822E-03 3.9081253E-03 8.1571687E-03 5.5218003E-03 4.7212180E-03 1.7120707E-04 4.7511224E-03 8.8619584E-04 5.8000880E-03 3.2351974E-02 1.1676300E-02 2.1412567E-05 2.0803997E+00 1.8433283E+01 -1.7424668E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5255346E+01 9.4233545E-02 2.2188245E-01 -2.1511416E-03 4.9996335E-03 8.3421457E-03 6.2865530E-03 3.6825596E-03 2.2528851E-04 4.6860030E-03 6.9123454E-04 5.4821408E-03 3.6240686E-02 1.4935433E-02 2.8014385E-05 2.0360309E+00 1.8489254E+01 -1.9868079E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5245859E+01 1.0565581E-01 2.4310946E-01 -2.0578225E-03 5.8275315E-03 8.5111641E-03 6.8653253E-03 2.9484925E-03 2.6547365E-04 4.6690701E-03 5.5344654E-04 5.2843116E-03 3.8989256E-02 1.7407225E-02 3.3127564E-05 2.0131957E+00 1.8519146E+01 -2.1359194E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5239062E+01 1.1390088E-01 2.5855055E-01 -1.9917421E-03 6.4408833E-03 8.6692719E-03 7.3135849E-03 2.4286903E-03 2.9401604E-04 4.6709315E-03 4.5587712E-04 5.1572607E-03 4.0935718E-02 1.9238402E-02 3.6950233E-05 2.0012012E+00 1.8535597E+01 -2.2266249E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5234164E+01 1.1985671E-01 2.6985440E-01 -1.9442902E-03 6.8934781E-03 8.8167417E-03 7.6694107E-03 2.0554242E-03 3.1411869E-04 4.6782887E-03 3.8581323E-04 5.0720817E-03 4.2333578E-02 2.0589652E-02 3.9773278E-05 1.9947754E+00 1.8544936E+01 -2.2824448E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5230578E+01 1.2421081E-01 2.7825868E-01 -1.9094781E-03 7.2299567E-03 8.9531221E-03 7.9586473E-03 1.7815848E-03 3.2822690E-04 4.6856974E-03 3.3441222E-04 5.0120164E-03 4.3359180E-02 2.1594275E-02 4.1862243E-05 1.9913792E+00 1.8550298E+01 -2.3174185E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+01 9 5.5227899E+01 1.2744978E-01 2.8463412E-01 -1.8832889E-03 7.4835899E-03 9.0783533E-03 8.1988723E-03 1.5755753E-03 3.3836161E-04 4.6912807E-03 2.9574324E-04 4.9673439E-03 4.4130810E-02 2.2351596E-02 4.3424555E-05 1.9896797E+00 1.8553363E+01 -2.3398733E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.5000000E+01 9 5.5225852E+01 1.2990800E-01 2.8957711E-01 -1.8630679E-03 7.6780362E-03 9.1928469E-03 8.4021540E-03 1.4165130E-03 3.4577940E-04 4.6946792E-03 2.6588645E-04 4.9324103E-03 4.4726652E-02 2.2932234E-02 4.4611280E-05 1.9887831E+00 1.8555233E+01 -2.3549403E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.0000000E+01 9 5.5224252E+01 1.3181271E-01 2.9349313E-01 -1.8470614E-03 7.8298136E-03 9.2973123E-03 8.5769020E-03 1.2906029E-03 3.5126123E-04 4.6961167E-03 2.4225250E-04 4.9039012E-03 4.5198353E-02 2.3385490E-02 4.5528866E-05 1.9883488E+00 1.8556378E+01 -2.3654339E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.5000000E+01 9 5.5222975E+01 1.3331782E-01 2.9665861E-01 -1.8341001E-03 7.9503866E-03 9.3925879E-03 8.7290893E-03 1.1886466E-03 3.5544896E-04 4.6959699E-03 2.2311481E-04 4.8798259E-03 4.5580352E-02 2.3745581E-02 4.6251318E-05 1.9881588E+00 1.8557097E+01 -2.3730690E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.6000000E+01 9 5.5216927E+01 1.4524724E-01 3.2530534E-01 -1.8316212E-03 9.9996217E-03 1.1388622E-02 1.0736009E-02 1.1691465E-03 4.3472681E-04 5.7115864E-03 2.1945455E-04 5.8728194E-03 4.5659184E-02 2.9867112E-02 5.6385021E-05 1.9844544E+00 1.8557153E+01 -2.3938517E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 6.7000000E+01 9 5.5216893E+01 1.4512344E-01 3.2503693E-01 -1.8292478E-03 9.9583370E-03 1.1360773E-02 1.0718581E-02 1.1504766E-03 4.3017367E-04 5.6800291E-03 2.1595012E-04 5.8368712E-03 4.5729867E-02 2.9743547E-02 5.7247710E-05 1.9775456E+00 1.8562925E+01 -2.4289024E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 7.2000000E+01 9 5.5218485E+01 1.3481203E-01 3.0019170E-01 -1.7840145E-03 7.8594021E-03 9.3595454E-03 8.7607878E-03 1.0726641E-03 3.4393942E-04 4.5804102E-03 2.0134433E-04 4.7412300E-03 4.6628679E-02 2.3473859E-02 4.6337289E-05 1.9502055E+00 1.8698665E+01 -2.5908812E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 7.7000000E+01 9 5.5212890E+01 1.3784327E-01 3.0676733E-01 -1.7335443E-03 8.0203936E-03 9.4373635E-03 8.8754055E-03 1.0067382E-03 3.6752021E-04 4.6233020E-03 1.8896972E-04 4.7648813E-03 4.7612341E-02 2.3954131E-02 5.2543796E-05 1.9354689E+00 1.8771255E+01 -2.6940265E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 8.2000000E+01 9 5.5207882E+01 1.4088088E-01 3.1323735E-01 -1.6903294E-03 8.2225683E-03 9.5363584E-03 9.0060224E-03 9.5008792E-04 3.8998808E-04 4.6929487E-03 1.7833618E-04 4.8156942E-03 4.8459084E-02 2.4557219E-02 6.1649504E-05 1.9279481E+00 1.8810634E+01 -2.7554796E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 8.7000000E+01 9 5.5203928E+01 1.4342936E-01 3.1864379E-01 -1.6567299E-03 8.4058277E-03 9.6323059E-03 9.1294799E-03 9.0080410E-04 4.0732641E-04 4.7572669E-03 1.6908536E-04 4.8635050E-03 4.9127812E-02 2.5103924E-02 7.0503175E-05 1.9240047E+00 1.8833235E+01 -2.7928036E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 9.1000000E+01 9 5.5200005E+01 1.4794977E-01 3.2887728E-01 -1.6354756E-03 9.0181869E-03 1.0141191E-02 9.6581695E-03 8.6532530E-04 4.4255698E-04 5.0452756E-03 1.6242581E-04 5.1334071E-03 4.9562781E-02 2.6932303E-02 8.1866725E-05 1.9137324E+00 1.8852922E+01 -2.8590933E-02
