x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5324977E+01 2.2053854E-02 6.7534941E-02 -2.9791750E-03 0.0000000E+00 7.0118664E-03 1.3204707E-03 1.0196039E-02 0.0000000E+00 6.0424069E-03 1.9138467E-03 8.3574093E-03 1.1858049E-02 0.0000000E+00 0.0000000E+00 3.5459151E+00 1.6843260E+01 -4.6369950E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5305686E+01 3.7232864E-02 1.1097334E-01 -2.6904900E-03 1.0721307E-03 7.4846454E-03 3.0608335E-03 7.9251842E-03 4.0997417E-05 5.2273890E-03 1.4875960E-03 7.0313431E-03 2.0357386E-02 3.2056142E-03 5.3807646E-06 2.3424278E+00 1.8120534E+01 -8.5795258E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5285554E+01 5.8647894E-02 1.5467283E-01 -2.4578341E-03 2.4615776E-03 7.8220749E-03 4.4198293E-03 6.0950656E-03 1.0239528E-04 4.8378127E-03 1.1440738E-03 6.2168613E-03 2.7207982E-02 7.3561872E-03 1.2639257E-05 2.1450702E+00 1.8351867E+01 -1.4375995E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5269073E+01 7.7543122E-02 1.9085156E-01 -2.2841308E-03 3.7589189E-03 8.0750846E-03 5.4355507E-03 4.7286803E-03 1.6269454E-04 4.6795120E-03 8.8759656E-04 5.7341450E-03 3.2323084E-02 1.1230899E-02 1.9700712E-05 2.0654286E+00 1.8450348E+01 -1.7990831E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5256485E+01 9.2507837E-02 2.1875129E-01 -2.1579941E-03 4.8163493E-03 8.2846323E-03 6.1989511E-03 3.7364627E-03 2.1232210E-04 4.6240798E-03 7.0135243E-04 5.4384321E-03 3.6037850E-02 1.4388613E-02 2.5719228E-05 2.0266727E+00 1.8500216E+01 -2.0227799E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5247223E+01 1.0367924E-01 2.3957609E-01 -2.0671672E-03 5.6320372E-03 8.4694496E-03 6.7825790E-03 3.0220002E-03 2.4980281E-04 4.6121348E-03 5.6724429E-04 5.2513051E-03 3.8713009E-02 1.6824199E-02 3.0545998E-05 2.0064063E+00 1.8527313E+01 -2.1613600E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5240463E+01 1.1189240E-01 2.5499338E-01 -2.0015950E-03 6.2466101E-03 8.6373891E-03 7.2384388E-03 2.5061958E-03 2.7714062E-04 4.6166858E-03 4.7042528E-04 5.1284972E-03 4.0644539E-02 1.8659176E-02 3.4294724E-05 1.9954707E+00 1.8542579E+01 -2.2476527E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5235517E+01 1.1791361E-01 2.6643678E-01 -1.9537636E-03 6.7058834E-03 8.7916996E-03 7.6027717E-03 2.1299442E-03 2.9658096E-04 4.6255309E-03 3.9980099E-04 5.0442778E-03 4.2053634E-02 2.0030440E-02 3.7156403E-05 1.9895011E+00 1.8551371E+01 -2.3019720E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5231864E+01 1.2235112E-01 2.7501366E-01 -1.9183172E-03 7.0494951E-03 8.9339133E-03 7.9006267E-03 1.8511155E-03 3.1047419E-04 4.6336132E-03 3.4746348E-04 4.9835809E-03 4.3097980E-02 2.1056383E-02 3.9324519E-05 1.9862640E+00 1.8556499E+01 -2.3367237E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+01 9 5.5229128E+01 1.2565523E-01 2.8153408E-01 -1.8915361E-03 7.3083977E-03 9.0650158E-03 8.1493223E-03 1.6404494E-03 3.2046820E-04 4.6392046E-03 3.0792042E-04 4.9375460E-03 4.3887106E-02 2.1829429E-02 4.0966217E-05 1.9845354E+00 1.8559529E+01 -2.3594705E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.5000000E+01 9 5.5227045E+01 1.2814900E-01 2.8657556E-01 -1.8708687E-03 7.5056120E-03 9.1858372E-03 8.3608919E-03 1.4778755E-03 3.2771179E-04 4.6420562E-03 2.7740450E-04 4.9009316E-03 4.4496146E-02 2.2418307E-02 4.2215081E-05 1.9836387E+00 1.8561344E+01 -2.3747935E-02
