x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5324629E+01 2.2346346E-02 6.8044958E-02 -2.9742034E-03 0.0000000E+00 6.9849721E-03 1.3154059E-03 1.0156932E-02 0.0000000E+00 6.0192310E-03 1.9065061E-03 8.3253541E-03 1.2004335E-02 0.0000000E+00 0.0000000E+00 3.4050457E+00 1.6986457E+01 -6.5745474E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5305698E+01 3.7162704E-02 1.1073080E-01 -2.6899115E-03 1.0482171E-03 7.4624089E-03 3.0411369E-03 7.9206341E-03 3.9854858E-05 5.2127313E-03 1.4867420E-03 7.0158105E-03 2.0374470E-02 3.1341837E-03 5.3433220E-06 2.3355987E+00 1.8127339E+01 -8.7131930E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5285605E+01 5.8609952E-02 1.5438353E-01 -2.4586182E-03 2.4443291E-03 7.8031158E-03 4.3974270E-03 6.1012340E-03 9.7881108E-05 4.8327904E-03 1.1452316E-03 6.2135168E-03 2.7185153E-02 7.3048248E-03 1.2969690E-05 2.1431491E+00 1.8353025E+01 -1.4430326E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5268834E+01 7.7876119E-02 1.9115372E-01 -2.2823374E-03 3.7679117E-03 8.0456915E-03 5.4140325E-03 4.7145727E-03 1.5596040E-04 4.6757528E-03 8.8494847E-04 5.7269545E-03 3.2376408E-02 1.1257904E-02 2.0605560E-05 2.0625620E+00 1.8452246E+01 -1.8105574E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5255812E+01 9.3379194E-02 2.1993446E-01 -2.1521274E-03 4.8625424E-03 8.2388895E-03 6.1789680E-03 3.6903147E-03 2.0527956E-04 4.6206169E-03 6.9269022E-04 5.4225615E-03 3.6211305E-02 1.4526547E-02 2.7211532E-05 2.0221851E+00 1.8503780E+01 -2.0447235E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5246141E+01 1.0506364E-01 2.4156992E-01 -2.0575075E-03 5.7113786E-03 8.4066930E-03 6.7622373E-03 2.9460146E-03 2.4381782E-04 4.6084048E-03 5.5298143E-04 5.2263646E-03 3.8998281E-02 1.7060864E-02 3.2509464E-05 2.0002222E+00 1.8532688E+01 -2.1939944E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5239071E+01 1.1366458E-01 2.5759265E-01 -1.9890869E-03 6.3513372E-03 8.5588620E-03 7.2148333E-03 2.4078047E-03 2.7239197E-04 4.6131027E-03 4.5195678E-04 5.0968618E-03 4.1013747E-02 1.8971389E-02 3.6589890E-05 1.9881604E+00 1.8549202E+01 -2.2884750E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5233912E+01 1.1995884E-01 2.6944655E-01 -1.9393612E-03 6.8288267E-03 8.6989026E-03 7.5732141E-03 2.0166519E-03 2.9335975E-04 4.6227883E-03 3.7853547E-04 5.0087557E-03 4.2478645E-02 2.0396837E-02 3.9667871E-05 1.9814334E+00 1.8558858E+01 -2.3484351E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5230117E+01 1.2458682E-01 2.7828945E-01 -1.9027431E-03 7.1854568E-03 8.8280278E-03 7.8631252E-03 1.7286067E-03 3.0833741E-04 4.6323362E-03 3.2446798E-04 4.9464404E-03 4.3557488E-02 2.1461499E-02 4.1972448E-05 1.9777022E+00 1.8564567E+01 -2.3868229E-02
