x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605062E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 1.1068788E+01 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5329253E+01 1.8458716E-02 6.1266119E-02 -3.0402857E-03 0.0000000E+00 7.3424357E-03 1.3827233E-03 1.0676724E-02 0.0000000E+00 6.3272718E-03 2.0040736E-03 8.7514133E-03 1.0059993E-02 0.0000000E+00 0.0000000E+00 2.4351033E+00 1.7941343E+01 -5.9224231E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5311305E+01 3.1589182E-02 1.0306911E-01 -2.7593552E-03 1.0266758E-03 7.9709812E-03 3.2448233E-03 8.4668321E-03 1.5068841E-05 5.5234139E-03 1.5892660E-03 7.4554127E-03 1.8340132E-02 3.0700501E-03 1.5008394E-05 2.0276841E+00 1.8391670E+01 -1.6673949E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5288854E+01 5.6134580E-02 1.5171961E-01 -2.5078932E-03 2.6412049E-03 8.2882676E-03 4.6662693E-03 6.4887488E-03 3.6193907E-05 5.1581036E-03 1.2179701E-03 6.6316467E-03 2.5752222E-02 7.8939318E-03 3.7739687E-05 1.8972676E+00 1.8541884E+01 -2.3985818E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5270256E+01 7.7817630E-02 1.9190251E-01 -2.3161792E-03 4.0874117E-03 8.4902346E-03 5.7100449E-03 4.9806628E-03 5.7810241E-05 4.9922417E-03 9.3489491E-04 6.1040143E-03 3.1403636E-02 1.2212968E-02 5.8082640E-05 1.8361049E+00 1.8612667E+01 -2.8771928E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5256592E+01 9.4136593E-02 2.2182398E-01 -2.1800899E-03 5.2215836E-03 8.6571735E-03 6.4745462E-03 3.9101400E-03 7.6421378E-05 4.9305806E-03 7.3395251E-04 5.7798665E-03 3.5415570E-02 1.5599368E-02 7.3777829E-05 1.8059566E+00 1.8647618E+01 -3.1687777E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5246962E+01 1.0579124E-01 2.4324565E-01 -2.0860542E-03 6.0591811E-03 8.8140519E-03 7.0443318E-03 3.1704237E-03 9.1071318E-05 4.9158252E-03 5.9510412E-04 5.5814180E-03 3.8187913E-02 1.8100001E-02 8.5094873E-05 1.7910136E+00 1.8665006E+01 -3.3401558E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5240261E+01 1.1394936E-01 2.5841012E-01 -2.0211991E-03 6.6617917E-03 8.9656125E-03 7.4806685E-03 2.6602521E-03 1.0212968E-04 4.9184211E-03 4.9934240E-04 5.4564954E-03 4.0100060E-02 1.9899027E-02 9.3016014E-05 1.7837483E+00 1.8673549E+01 -3.4395783E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5235579E+01 1.1964806E-01 2.6919784E-01 -1.9758802E-03 7.0921642E-03 9.1107499E-03 7.8247993E-03 2.3037588E-03 1.1028485E-04 4.9249074E-03 4.3242686E-04 5.3737520E-03 4.1436284E-02 2.1183871E-02 9.8513500E-05 1.7803782E+00 1.8677611E+01 -3.4974342E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5232261E+01 1.2366650E-01 2.7698845E-01 -1.9435037E-03 7.4009798E-03 9.2475253E-03 8.1037386E-03 2.0490746E-03 1.1626899E-04 4.9301270E-03 3.8462137E-04 5.3154099E-03 4.2390954E-02 2.2105853E-02 1.0234774E-04 1.7789757E+00 1.8679406E+01 -3.5315909E-02
