x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5328790E+01 1.8847751E-02 6.1944471E-02 -3.0336700E-03 0.0000000E+00 7.3066642E-03 1.3759868E-03 1.0624708E-02 0.0000000E+00 6.2964460E-03 1.9943100E-03 8.7087774E-03 1.0254562E-02 0.0000000E+00 0.0000000E+00 5.3615326E+00 9.5975469E+00 1.3378305E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5310347E+01 3.2625109E-02 1.0468318E-01 -2.7484836E-03 1.0729353E-03 7.8890720E-03 3.2106164E-03 8.3813742E-03 1.4953370E-05 5.4958724E-03 1.5732252E-03 7.4082641E-03 1.8659708E-02 3.2085046E-03 1.5646277E-05 2.5324144E+00 1.7619832E+01 -5.4216792E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5288053E+01 5.6986180E-02 1.5271308E-01 -2.4986098E-03 2.6460242E-03 8.1884546E-03 4.6071671E-03 6.4158160E-03 3.5593157E-05 5.1179961E-03 1.2042802E-03 6.5734104E-03 2.6024831E-02 7.9081447E-03 3.8196831E-05 2.2412994E+00 1.7974586E+01 -1.1306699E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5269890E+01 7.8118515E-02 1.9195587E-01 -2.3108407E-03 4.0549534E-03 8.3863381E-03 5.6295242E-03 4.9387855E-03 5.6148231E-05 4.9519307E-03 9.2703433E-04 6.0527859E-03 3.1559865E-02 1.2115740E-02 5.8192431E-05 2.1292243E+00 1.8112182E+01 -1.5260121E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5256535E+01 9.4078939E-02 2.2120515E-01 -2.1779453E-03 5.1642825E-03 8.5508541E-03 6.3775689E-03 3.8934038E-03 7.3750730E-05 4.8925332E-03 7.3081104E-04 5.7372417E-03 3.5477592E-02 1.5427999E-02 7.3591074E-05 2.0766907E+00 1.8176352E+01 -1.7705268E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5247040E+01 1.0559170E-01 2.4232199E-01 -2.0855103E-03 5.9929439E-03 8.7015656E-03 6.9341523E-03 3.1662911E-03 8.7824960E-05 4.8805992E-03 5.9432841E-04 5.5449368E-03 3.8202706E-02 1.7902023E-02 8.4778118E-05 2.0502149E+00 1.8208506E+01 -1.9174481E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5240343E+01 1.1377391E-01 2.5745411E-01 -2.0210554E-03 6.5983403E-03 8.8429361E-03 7.3585374E-03 2.6592752E-03 9.8667515E-05 4.8863802E-03 4.9915904E-04 5.4240752E-03 4.0103019E-02 1.9709418E-02 9.2716321E-05 2.0364213E+00 1.8225236E+01 -2.0053535E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5235602E+01 1.1957779E-01 2.6833757E-01 -1.9755710E-03 7.0369815E-03 8.9754854E-03 7.6908034E-03 2.3014862E-03 1.0684973E-04 4.8962524E-03 4.3200028E-04 5.3443306E-03 4.1444087E-02 2.1018969E-02 9.8308520E-05 2.0291173E+00 1.8234138E+01 -2.0584440E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5232215E+01 1.2371303E-01 2.7624120E-01 -1.9429316E-03 7.3546585E-03 9.0989655E-03 7.9575996E-03 2.0447378E-03 1.1297515E-04 4.9047626E-03 3.8380734E-04 5.2885723E-03 4.2406478E-02 2.1967402E-02 1.0225300E-04 2.0252327E+00 1.8238941E+01 -2.0910683E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5229763E+01 1.2668493E-01 2.8205943E-01 -1.9190446E-03 7.5858590E-03 9.2131795E-03 8.1766988E-03 1.8568378E-03 1.1755387E-04 4.9102696E-03 3.4853759E-04 5.2472149E-03 4.3110831E-02 2.2657678E-02 1.0505362E-04 2.0231810E+00 1.8241550E+01 -2.1115848E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5227960E+01 1.2884669E-01 2.8641411E-01 -1.9011804E-03 7.7556642E-03 9.3181598E-03 8.3601186E-03 1.7163147E-03 1.2098974E-04 4.9127398E-03 3.2216071E-04 5.2148647E-03 4.3637615E-02 2.3164674E-02 1.0706295E-04 2.0221169E+00 1.8242974E+01 -2.1248740E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5226609E+01 1.3044333E-01 2.8973551E-01 -1.8875111E-03 7.8819805E-03 9.4141692E-03 8.5161483E-03 1.6087893E-03 1.2358324E-04 4.9127272E-03 3.0197766E-04 5.1884338E-03 4.4040719E-02 2.3541843E-02 1.0852439E-04 2.0215843E+00 1.8243753E+01 -2.1337920E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.5000000E+01 10 5.5225576E+01 1.3164368E-01 2.9232070E-01 -1.8768050E-03 7.9774276E-03 9.5016527E-03 8.6506414E-03 1.5245724E-03 1.2556130E-04 4.9108897E-03 2.8616973E-04 5.1661053E-03 4.4356457E-02 2.3826857E-02 1.0960485E-04 2.0213318E+00 1.8244183E+01 -2.1400383E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.6000000E+01 10 5.5219658E+01 1.4337206E-01 3.2064172E-01 -1.8747733E-03 1.0005514E-02 1.1508309E-02 1.0666219E-02 1.5085906E-03 1.4369824E-04 5.9170495E-03 2.8316988E-04 6.1527459E-03 4.4433545E-02 2.9885690E-02 1.4226676E-04 2.0210043E+00 1.8278781E+01 -2.1429686E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.7000000E+01 10 5.5219552E+01 1.4342529E-01 3.2073426E-01 -1.8728430E-03 9.9963396E-03 1.1497855E-02 1.0664241E-02 1.4934060E-03 1.4548318E-04 5.9040444E-03 2.8031965E-04 6.1350097E-03 4.4489392E-02 2.9857926E-02 1.4016132E-04 2.0177028E+00 1.8297537E+01 -2.1594300E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.2000000E+01 10 5.5221899E+01 1.3263355E-01 2.9489165E-01 -1.8346569E-03 7.8711467E-03 9.4653403E-03 8.6660526E-03 1.4319105E-03 1.2672524E-04 4.8023414E-03 2.6877664E-04 5.0381349E-03 4.5229066E-02 2.3509291E-02 1.0593629E-04 1.9846170E+00 1.8562628E+01 -2.3327373E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.7000000E+01 10 5.5216648E+01 1.3526381E-01 3.0065171E-01 -1.7867227E-03 7.9880559E-03 9.5200252E-03 8.7491248E-03 1.3810551E-03 1.3998687E-04 4.8322199E-03 2.5923084E-04 5.0523236E-03 4.6165143E-02 2.3857990E-02 1.3321265E-04 1.9667323E+00 1.8665413E+01 -2.4429654E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.2000000E+01 10 5.5211725E+01 1.3813292E-01 3.0681280E-01 -1.7443511E-03 8.1735100E-03 9.6117888E-03 8.8648101E-03 1.3381998E-03 1.5828128E-04 4.9019706E-03 2.5118668E-04 5.1058862E-03 4.6999513E-02 2.4411127E-02 1.6515677E-04 1.9582498E+00 1.8714650E+01 -2.5053966E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.7000000E+01 10 5.5207872E+01 1.4051930E-01 3.1194763E-01 -1.7117346E-03 8.3434826E-03 9.7049404E-03 8.9784596E-03 1.3014780E-03 1.7556750E-04 4.9673139E-03 2.4429382E-04 5.1571905E-03 4.7652812E-02 2.4918123E-02 1.9275927E-04 1.9541174E+00 1.8740501E+01 -2.5418044E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.1000000E+01 10 5.5204045E+01 1.4494083E-01 3.2205030E-01 -1.6915110E-03 8.9529386E-03 1.0220436E-02 9.5085676E-03 1.2753000E-03 1.9871052E-04 5.2594386E-03 2.3938008E-04 5.4332379E-03 4.8080621E-02 2.6737868E-02 2.2834531E-04 1.9456777E+00 1.8761755E+01 -2.5967647E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.2000000E+01 10 5.5199039E+01 1.5428057E-01 3.4424859E-01 -1.6868087E-03 1.0532337E-02 1.1705334E-02 1.0997013E-02 1.2689449E-03 2.3617864E-04 6.0484271E-03 2.3818720E-04 6.2044555E-03 4.8232104E-02 3.1455630E-02 2.9349238E-04 1.9430953E+00 1.8769550E+01 -2.6129557E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.7000000E+01 10 5.5199185E+01 1.4343598E-01 3.1942428E-01 -2.1660328E-03 8.3715072E-03 9.7115008E-03 9.0188113E-03 1.2409415E-03 1.9743424E-04 4.9472736E-03 2.3293083E-04 5.1191704E-03 4.9303976E-02 2.5001021E-02 2.1970522E-04 1.9194935E+00 1.8807666E+01 -2.7738080E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0200000E+02 10 5.5191427E+01 1.4644641E-01 3.2701413E-01 -2.8311500E-03 8.5174876E-03 9.7714642E-03 9.0927022E-03 1.2159907E-03 2.0887265E-04 5.0078100E-03 2.2824743E-04 5.1680564E-03 5.0662393E-02 2.5436321E-02 2.3884305E-04 1.9053565E+00 1.8836288E+01 -2.8908867E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0700000E+02 10 5.5184518E+01 1.4943714E-01 3.3434915E-01 -3.4250690E-03 8.7025508E-03 9.8551415E-03 9.1889085E-03 1.1935453E-03 2.2098323E-04 5.0898442E-03 2.2403432E-04 5.2377247E-03 5.1843628E-02 2.5988187E-02 2.5648077E-04 1.8978807E+00 1.8853945E+01 -2.9661366E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1200000E+02 10 5.5179217E+01 1.5185635E-01 3.4023559E-01 -3.8744463E-03 8.8650560E-03 9.9361826E-03 9.2813162E-03 1.1731820E-03 2.3191785E-04 5.1613859E-03 2.2021204E-04 5.2984883E-03 5.2748047E-02 2.6472817E-02 2.7090678E-04 1.8938599E+00 1.8864556E+01 -3.0140562E-02
