x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5328211E+01 1.9334887E-02 6.2793889E-02 -3.0253900E-03 0.0000000E+00 7.2618725E-03 1.3675517E-03 1.0559576E-02 0.0000000E+00 6.2578472E-03 1.9820844E-03 8.6553903E-03 1.0498196E-02 0.0000000E+00 0.0000000E+00 5.2581850E+00 1.4228160E+01 1.0687452E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5309037E+01 3.3868012E-02 1.0683280E-01 -2.7314828E-03 1.1087022E-03 7.7965399E-03 3.1927328E-03 8.2476425E-03 1.5286894E-05 5.4348356E-03 1.5481231E-03 7.3159327E-03 1.9160176E-02 3.3150332E-03 1.6143931E-05 2.4769131E+00 1.7692949E+01 -6.1805285E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5286172E+01 5.8917311E-02 1.5590459E-01 -2.4760233E-03 2.7213303E-03 8.0566069E-03 4.5744942E-03 6.2381461E-03 3.6238488E-05 5.0508896E-03 1.1709307E-03 6.4643430E-03 2.6689809E-02 8.1326545E-03 3.9194848E-05 2.2053631E+00 1.8024998E+01 -1.2321698E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5267600E+01 8.0619561E-02 1.9581775E-01 -2.2851935E-03 4.1528982E-03 8.2313643E-03 5.5871642E-03 4.7370397E-03 5.7099342E-05 4.8826814E-03 8.8916566E-04 5.9342694E-03 3.2315017E-02 1.2407725E-02 5.9493983E-05 2.0988688E+00 1.8155720E+01 -1.6414424E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5254123E+01 9.6702210E-02 2.2523371E-01 -2.1507964E-03 5.2626451E-03 8.3852347E-03 6.3311577E-03 3.6798443E-03 7.4873762E-05 4.8171745E-03 6.9072488E-04 5.6084572E-03 3.6277042E-02 1.5721015E-02 7.4988301E-05 2.0479655E+00 1.8217389E+01 -1.8965506E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5244606E+01 1.0820037E-01 2.4634677E-01 -2.0576183E-03 6.0852531E-03 8.5312009E-03 6.8862585E-03 2.9468865E-03 8.8972973E-05 4.7991453E-03 5.5314509E-04 5.4078928E-03 3.9024098E-02 1.8176770E-02 8.6183895E-05 2.0219775E+00 1.8248520E+01 -2.0509165E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5237898E+01 1.1636673E-01 2.6146960E-01 -1.9926837E-03 6.6861812E-03 8.6698194E-03 7.3099977E-03 2.4360978E-03 9.9769204E-05 4.8005680E-03 4.5726753E-04 5.2815738E-03 4.0938587E-02 1.9970697E-02 9.4122077E-05 2.0083169E+00 1.8264752E+01 -2.1437564E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5233129E+01 1.2218873E-01 2.7239194E-01 -1.9467437E-03 7.1242755E-03 8.8002544E-03 7.6421499E-03 2.0747246E-03 1.0789637E-04 4.8079686E-03 3.8943601E-04 5.1986792E-03 4.2293114E-02 2.1278555E-02 9.9734559E-05 2.0010460E+00 1.8273378E+01 -2.2000259E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5229696E+01 1.2637441E-01 2.8038516E-01 -1.9135913E-03 7.4448684E-03 8.9221766E-03 7.9096408E-03 1.8139409E-03 1.1396666E-04 4.8153860E-03 3.4048562E-04 5.1412152E-03 4.3270648E-02 2.2235678E-02 1.0372313E-04 1.9971689E+00 1.8278006E+01 -2.2347179E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5227186E+01 1.2941750E-01 2.8632906E-01 -1.8891288E-03 7.6811814E-03 9.0356650E-03 8.1305410E-03 1.6215144E-03 1.1850251E-04 4.8205894E-03 3.0436622E-04 5.0988611E-03 4.3991982E-02 2.2941228E-02 1.0658424E-04 1.9951164E+00 1.8280503E+01 -2.2566441E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5225317E+01 1.3165986E-01 2.9082932E-01 -1.8706477E-03 7.8571413E-03 9.1409628E-03 8.3169874E-03 1.4761381E-03 1.2192497E-04 4.8231060E-03 2.7707839E-04 5.0657411E-03 4.4536968E-02 2.3466617E-02 1.0866179E-04 1.9940473E+00 1.8281850E+01 -2.2709638E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5223899E+01 1.3333829E-01 2.9430383E-01 -1.8563430E-03 7.9898597E-03 9.2383699E-03 8.4772048E-03 1.3636144E-03 1.2455097E-04 4.8232050E-03 2.5595713E-04 5.0385149E-03 4.4958817E-02 2.3862918E-02 1.1019218E-04 1.9935046E+00 1.8282584E+01 -2.2807037E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.5000000E+01 10 5.5222801E+01 1.3461735E-01 2.9704225E-01 -1.8450002E-03 8.0915295E-03 9.3282189E-03 8.6168589E-03 1.2743893E-03 1.2660480E-04 4.8214123E-03 2.3920914E-04 5.0152636E-03 4.5293337E-02 2.4166525E-02 1.1133892E-04 1.9932381E+00 1.8282981E+01 -2.2876513E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.6000000E+01 10 5.5216630E+01 1.4684380E-01 3.2602962E-01 -1.8428412E-03 1.0170261E-02 1.1334828E-02 1.0632948E-02 1.2574065E-03 1.4563808E-04 5.8533329E-03 2.3602138E-04 6.0248742E-03 4.5374445E-02 3.0376288E-02 1.4491165E-04 1.9929211E+00 1.8316940E+01 -2.2907836E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.7000000E+01 10 5.5216510E+01 1.4691580E-01 3.2614921E-01 -1.8407838E-03 1.0162141E-02 1.1323695E-02 1.0630849E-02 1.2412223E-03 1.4753023E-04 5.8402511E-03 2.3298353E-04 6.0068632E-03 4.5434001E-02 3.0351697E-02 1.4267321E-04 1.9897708E+00 1.8334962E+01 -2.3076300E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.2000000E+01 10 5.5218912E+01 1.3574392E-01 2.9988025E-01 -1.8007577E-03 7.9893081E-03 9.2946126E-03 8.6388249E-03 1.1748326E-03 1.2794075E-04 4.7107185E-03 2.2052185E-04 4.8837802E-03 4.6212919E-02 2.3861153E-02 1.0761890E-04 1.9576727E+00 1.8595448E+01 -2.4873469E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.7000000E+01 10 5.5213479E+01 1.3846599E-01 3.0588012E-01 -1.7509680E-03 8.1112405E-03 9.3548909E-03 8.7301435E-03 1.1192245E-03 1.4141950E-04 4.7402751E-03 2.1008395E-04 4.8965594E-03 4.7188863E-02 2.4224823E-02 1.3547959E-04 1.9402307E+00 1.8696958E+01 -2.6023271E-02
