x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2060394E-06 5.6145746E-04 -2.3595300E-14 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 8.9501899E-05 0.0000000E+00 0.0000000E+00 7.0300000E+00 -1.5693679E+00 7.1966762E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5329087E+01 1.8594476E-02 5.5857975E-02 -2.1128969E-04 0.0000000E+00 7.3296478E-03 1.3803151E-03 1.0658129E-02 0.0000000E+00 6.3162519E-03 2.0005832E-03 8.7361714E-03 8.7176579E-03 0.0000000E+00 0.0000000E+00 5.4098716E+00 9.1860501E+00 1.5064841E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5310596E+01 3.2294520E-02 9.9997486E-02 -5.2340448E-04 1.0775370E-03 7.9160016E-03 3.2283879E-03 8.3977808E-03 1.5358244E-05 5.5077650E-03 1.5763048E-03 7.4241130E-03 1.7486145E-02 3.2218869E-03 1.5591706E-05 2.5384710E+00 1.7606448E+01 -5.2111727E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5287459E+01 5.7837624E-02 1.5081322E-01 -8.0158030E-04 2.7344690E-03 8.1814090E-03 4.6183165E-03 6.3832199E-03 3.6869990E-05 5.1429964E-03 1.1981618E-03 6.5902867E-03 2.5301680E-02 8.1722831E-03 3.9033124E-05 2.2400915E+00 1.7972296E+01 -1.1173076E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5268756E+01 7.9663200E-02 1.9180492E-01 -1.0107327E-03 4.1745043E-03 8.3531275E-03 5.6355301E-03 4.8685299E-03 5.8334834E-05 4.9714763E-03 9.1384701E-04 6.0526564E-03 3.1178450E-02 1.2472560E-02 5.9646044E-05 2.1239879E+00 1.8115234E+01 -1.5307722E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5255369E+01 9.5586600E-02 2.2157612E-01 -1.1564390E-03 5.2689448E-03 8.5137625E-03 6.3851806E-03 3.8133185E-03 7.6116057E-05 4.8997739E-03 7.1577864E-04 5.7205423E-03 3.5272804E-02 1.5739974E-02 7.5215458E-05 2.0697031E+00 1.8181330E+01 -1.7881444E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5246145E+01 1.0666777E-01 2.4246423E-01 -1.2553719E-03 6.0578642E-03 8.6800755E-03 6.9514282E-03 3.0968425E-03 8.9633042E-05 4.8746553E-03 5.8129257E-04 5.5168350E-03 3.8052988E-02 1.8095019E-02 8.6208799E-05 2.0429591E+00 1.8213598E+01 -1.9401177E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5239817E+01 1.1429798E-01 2.5708786E-01 -1.3228903E-03 6.6174678E-03 8.8484388E-03 7.3927337E-03 2.6078711E-03 9.9447709E-05 4.8681569E-03 4.8951024E-04 5.3882005E-03 3.9950481E-02 1.9765512E-02 9.3779972E-05 2.0295511E+00 1.8229719E+01 -2.0283607E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5235406E+01 1.1960635E-01 2.6749766E-01 -1.3700761E-03 7.0164559E-03 9.0123623E-03 7.7474048E-03 2.2661500E-03 1.0651984E-04 4.8674159E-03 4.2536750E-04 5.3023833E-03 4.1276633E-02 2.0956612E-02 9.8994989E-05 2.0228022E+00 1.8237884E+01 -2.0800359E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5232248E+01 1.2338349E-01 2.7510953E-01 -1.4041713E-03 7.3059987E-03 9.1672967E-03 8.0401685E-03 2.0192311E-03 1.1166736E-04 4.8673040E-03 3.7901962E-04 5.2412244E-03 4.2234930E-02 2.1821061E-02 1.0264442E-04 2.0194291E+00 1.8242050E+01 -2.1111086E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5229914E+01 1.2614945E-01 2.8085036E-01 -1.4297182E-03 7.5212930E-03 9.3110020E-03 8.2871470E-03 1.8342190E-03 1.1549187E-04 4.8662090E-03 3.4429193E-04 5.1948001E-03 4.2953005E-02 2.2463902E-02 1.0526257E-04 2.0177880E+00 1.8244169E+01 -2.1305219E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5228132E+01 1.2823729E-01 2.8531503E-01 -1.4495370E-03 7.6856966E-03 9.4428489E-03 8.4991110E-03 1.6906906E-03 1.1840684E-04 4.8638945E-03 3.1735094E-04 5.1576770E-03 4.3510101E-02 2.2954839E-02 1.0719591E-04 2.0170437E+00 1.8245226E+01 -2.1432154E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5226731E+01 1.2985978E-01 2.8888591E-01 -1.4653930E-03 7.8145511E-03 9.5631244E-03 8.6834842E-03 1.5758605E-03 1.2069504E-04 4.8605763E-03 2.9579677E-04 5.1268033E-03 4.3955825E-02 2.3339654E-02 1.0866621E-04 2.0167648E+00 1.8245724E+01 -2.1519330E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.5000000E+01 10 5.5225599E+01 1.3115413E-01 2.9181208E-01 -1.4784135E-03 7.9179749E-03 9.6725631E-03 8.8455580E-03 1.4815656E-03 1.2254592E-04 4.8565552E-03 2.7809716E-04 5.1003888E-03 4.4321854E-02 2.3648546E-02 1.0981587E-04 2.0167250E+00 1.8245936E+01 -2.1582270E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.6000000E+01 10 5.5219629E+01 1.4296472E-01 3.2030672E-01 -1.4809123E-03 9.9566648E-03 1.1683867E-02 1.0866963E-02 1.4634693E-03 1.4096941E-04 5.8668704E-03 2.7470039E-04 6.0904090E-03 4.4409311E-02 2.9739020E-02 1.4253598E-04 2.0165174E+00 1.8278941E+01 -2.1608630E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.7000000E+01 10 5.5219491E+01 1.4306033E-01 3.2051172E-01 -1.4833131E-03 9.9523156E-03 1.1679486E-02 1.0872288E-02 1.4460826E-03 1.4299801E-04 5.8549719E-03 2.7143682E-04 6.0732572E-03 4.4475778E-02 2.9725679E-02 1.4043615E-04 2.0136340E+00 1.8297250E+01 -2.1757594E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.2000000E+01 10 5.5221785E+01 1.3235090E-01 2.9495668E-01 -1.4636786E-03 7.8321726E-03 9.6692856E-03 8.9031705E-03 1.3724822E-03 1.2392043E-04 4.7485260E-03 2.5762166E-04 4.9690827E-03 4.5260632E-02 2.3392179E-02 1.0636623E-04 1.9813860E+00 1.8563267E+01 -2.3470099E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.7000000E+01 10 5.5216392E+01 1.3509490E-01 3.0105188E-01 -1.4307184E-03 7.9551526E-03 9.7372063E-03 9.0064213E-03 1.3091889E-03 1.3713191E-04 4.7739307E-03 2.4574120E-04 4.9762430E-03 4.6256047E-02 2.3759057E-02 1.3385599E-04 1.9629932E+00 1.8668146E+01 -2.4617252E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.2000000E+01 10 5.5211229E+01 1.3816201E-01 3.0769234E-01 -1.4005258E-03 8.1545194E-03 9.8429029E-03 9.1428897E-03 1.2540619E-03 1.5586082E-04 4.8432995E-03 2.3539358E-04 5.0266892E-03 4.7159934E-02 2.4353755E-02 1.6646556E-04 1.9541822E+00 1.8718830E+01 -2.5277685E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.7000000E+01 10 5.5207147E+01 1.4075841E-01 3.1332127E-01 -1.3785616E-03 8.3413331E-03 9.9516693E-03 9.2787406E-03 1.2055403E-03 1.7364563E-04 4.9100257E-03 2.2628584E-04 5.0766801E-03 4.7877211E-02 2.4911045E-02 1.9469252E-04 1.9500679E+00 1.8745157E+01 -2.5656575E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.1000000E+01 10 5.5203167E+01 1.4535037E-01 3.2382264E-01 -1.3662874E-03 8.9672454E-03 1.0481833E-02 9.8285631E-03 1.1703224E-03 1.9737231E-04 5.2050489E-03 2.1967527E-04 5.3534012E-03 4.8348405E-02 2.6779912E-02 2.3065818E-04 1.9420615E+00 1.8765995E+01 -2.6196268E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.2000000E+01 10 5.5198106E+01 1.5477077E-01 3.4617707E-01 -1.3635417E-03 1.0555473E-02 1.1970788E-02 1.1322312E-02 1.1617337E-03 2.3522675E-04 5.9972100E-03 2.1806313E-04 6.1270489E-03 4.8510551E-02 3.1524014E-02 2.9615119E-04 1.9396455E+00 1.8773525E+01 -2.6352738E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.7000000E+01 10 5.5198266E+01 1.4397457E-01 3.2150927E-01 -1.8425198E-03 8.3970335E-03 9.9910754E-03 9.3640544E-03 1.1232976E-03 1.9597968E-04 4.8906700E-03 2.1084849E-04 5.0348251E-03 4.9607476E-02 2.5076601E-02 2.2174969E-04 1.9165021E+00 1.8810882E+01 -2.7950520E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0200000E+02 10 5.5190423E+01 1.4705795E-01 3.2931947E-01 -2.5197128E-03 8.5470791E-03 1.0059833E-02 9.4521400E-03 1.0886716E-03 2.0708538E-04 4.9471701E-03 2.0434902E-04 5.0781506E-03 5.1006426E-02 2.5524090E-02 2.4042344E-04 1.9020986E+00 1.8839631E+01 -2.9153144E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0700000E+02 10 5.5183315E+01 1.5018391E-01 3.3700342E-01 -3.1355253E-03 8.7414576E-03 1.0153235E-02 9.5630555E-03 1.0572970E-03 2.1911964E-04 5.0283747E-03 1.9845985E-04 5.1453056E-03 5.2242970E-02 2.6103795E-02 2.5779198E-04 1.8944277E+00 1.8857508E+01 -2.9935090E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1200000E+02 10 5.5177826E+01 1.5274514E-01 3.4324406E-01 -3.6033241E-03 8.9151175E-03 1.0245158E-02 9.6709304E-03 1.0287194E-03 2.3014903E-04 5.1005161E-03 1.9309569E-04 5.2049574E-03 5.3197737E-02 2.6621749E-02 2.7214882E-04 1.8904045E+00 1.8868131E+01 -3.0429020E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1700000E+02 10 5.5173865E+01 1.5467590E-01 3.4794188E-01 -3.9311503E-03 9.0517942E-03 1.0326288E-02 9.7666601E-03 1.0025648E-03 2.3936794E-04 5.1550301E-03 1.8818634E-04 5.2490177E-03 5.3895833E-02 2.7029437E-02 2.8314320E-04 1.8882334E+00 1.8874451E+01 -3.0743963E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.2200000E+02 10 5.5171053E+01 1.5610268E-01 3.5142062E-01 -4.1545500E-03 9.1555127E-03 1.0395962E-02 9.8497545E-03 9.7852235E-04 2.4679379E-04 5.1938264E-03 1.8367346E-04 5.2791202E-03 5.4402427E-02 2.7338851E-02 2.9129042E-04 1.8870136E+00 1.8878291E+01 -3.0950338E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.2400000E+02 10 5.5165141E+01 1.6658851E-01 3.7554492E-01 -4.2296793E-03 1.0873667E-02 1.1866387E-02 1.1325369E-02 9.6922491E-04 2.9306864E-04 6.0543461E-03 1.8192828E-04 6.1118239E-03 5.4645198E-02 3.2469708E-02 3.6606888E-04 1.8828792E+00 1.8886262E+01 -3.1260972E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.2500000E+02 10 5.5163278E+01 1.6967818E-01 3.8286144E-01 -4.2639965E-03 1.1379124E-02 1.2339019E-02 1.1800552E-02 9.6465385E-04 3.0741843E-04 6.3058096E-03 1.8107027E-04 6.3559883E-03 5.4746307E-02 3.3979330E-02 3.8545299E-04 1.8792778E+00 1.8891854E+01 -3.1515384E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.3000000E+02 10 5.5168582E+01 1.5658735E-01 3.5323069E-01 -4.3799392E-03 9.1117396E-03 1.0402509E-02 9.8765675E-03 9.4221556E-04 2.5284742E-04 5.1506601E-03 1.7685849E-04 5.2273847E-03 5.4962538E-02 2.7207803E-02 2.8825219E-04 1.8748766E+00 1.8894649E+01 -3.1886003E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.3100000E+02 10 5.5161566E+01 1.7032317E-01 3.8472502E-01 -4.4012219E-03 1.1400656E-02 1.2381376E-02 1.1857807E-02 9.3796566E-04 3.1304248E-04 6.3008198E-03 1.7606077E-04 6.3446961E-03 5.5117680E-02 3.4043662E-02 3.9510126E-04 1.8746797E+00 1.8897264E+01 -3.1911198E-02
