x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5327983E+01 1.9526682E-02 6.3128321E-02 -3.0221300E-03 0.0000000E+00 7.2442372E-03 1.3642306E-03 1.0533932E-02 0.0000000E+00 6.2426502E-03 1.9772709E-03 8.6343709E-03 1.0594120E-02 0.0000000E+00 0.0000000E+00 5.2088738E+00 1.4424399E+01 9.5689123E-04
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5308594E+01 3.4319571E-02 1.0746827E-01 -2.7261405E-03 1.1124802E-03 7.7637026E-03 3.1833533E-03 8.2056183E-03 1.5492739E-05 5.4121805E-03 1.5402349E-03 7.2829395E-03 1.9317409E-02 3.3261881E-03 1.6362899E-05 2.4586262E+00 1.7716975E+01 -6.4523524E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5285731E+01 5.9346585E-02 1.5646713E-01 -2.4704486E-03 2.7198993E-03 8.0098770E-03 4.5522424E-03 6.1942939E-03 3.6664741E-05 5.0247835E-03 1.1626994E-03 6.4269930E-03 2.6853920E-02 8.1282614E-03 3.9557987E-05 2.1938127E+00 1.8039881E+01 -1.2660264E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5267325E+01 8.0813866E-02 1.9599665E-01 -2.2808022E-03 4.1347286E-03 8.1758065E-03 5.5508884E-03 4.7024964E-03 5.7346701E-05 4.8537292E-03 8.8268170E-04 5.8962419E-03 3.2444256E-02 1.2353292E-02 5.9803486E-05 2.0895176E+00 1.8167515E+01 -1.6770932E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5254050E+01 9.6648720E-02 2.2496494E-01 -2.1483219E-03 5.2269340E-03 8.3257227E-03 6.2825106E-03 3.6603799E-03 7.4794635E-05 4.7881529E-03 6.8707131E-04 5.5743726E-03 3.6349763E-02 1.5614198E-02 7.5151869E-05 2.0402310E+00 1.8227184E+01 -1.9295713E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5244746E+01 1.0789207E-01 2.4562277E-01 -2.0572552E-03 6.0319632E-03 8.4723475E-03 6.8289995E-03 2.9440302E-03 8.8392307E-05 4.7708256E-03 5.5260895E-04 5.3791351E-03 3.9034567E-02 1.8017508E-02 8.6153743E-05 2.0155514E+00 1.8256782E+01 -2.0794752E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5238237E+01 1.1581430E-01 2.6032927E-01 -1.9942555E-03 6.6162898E-03 8.6149955E-03 7.2482718E-03 2.4484624E-03 9.8619914E-05 4.7726016E-03 4.5958844E-04 5.2575176E-03 4.0892000E-02 1.9761935E-02 9.3884563E-05 2.0029115E+00 1.8271908E+01 -2.1677795E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5233637E+01 1.2142699E-01 2.7090977E-01 -1.9498752E-03 7.0400778E-03 8.7511732E-03 7.5793184E-03 2.0993581E-03 1.0620983E-04 4.7797974E-03 3.9405983E-04 5.1779955E-03 4.2200539E-02 2.1027153E-02 9.9307330E-05 1.9963912E+00 1.8279735E+01 -2.2202837E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5230330E+01 1.2545106E-01 2.7864962E-01 -1.9178528E-03 7.3495091E-03 8.8791546E-03 7.8479067E-03 1.8474633E-03 1.1184657E-04 4.7866473E-03 3.4677795E-04 5.1226115E-03 4.3144756E-02 2.1951021E-02 1.0314051E-04 1.9930362E+00 1.8283827E+01 -2.2522028E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5227905E+01 1.2838104E-01 2.8442425E-01 -1.8941300E-03 7.5779723E-03 8.9981472E-03 8.0710635E-03 1.6608548E-03 1.1607235E-04 4.7911961E-03 3.1175061E-04 5.0813687E-03 4.3844285E-02 2.2633193E-02 1.0588620E-04 1.9913320E+00 1.8285974E+01 -2.2722452E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5226090E+01 1.3055206E-01 2.8882431E-01 -1.8760809E-03 7.7490082E-03 9.1080072E-03 8.2601753E-03 1.5188765E-03 1.1928673E-04 4.7931589E-03 2.8510060E-04 5.0487388E-03 4.4376537E-02 2.3143928E-02 1.0788544E-04 1.9904886E+00 1.8287104E+01 -2.2853572E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5224701E+01 1.3219090E-01 2.9224905E-01 -1.8619912E-03 7.8790623E-03 9.2089748E-03 8.4230093E-03 1.4080440E-03 1.2177877E-04 4.7928861E-03 2.6429678E-04 5.0216466E-03 4.4792050E-02 2.3532309E-02 1.0936792E-04 1.9900907E+00 1.8287699E+01 -2.2943535E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.5000000E+01 10 5.5223615E+01 1.3345192E-01 2.9497051E-01 -1.8507257E-03 7.9796143E-03 9.3014975E-03 8.5649975E-03 1.3194274E-03 1.2374807E-04 4.7908983E-03 2.4766301E-04 4.9983530E-03 4.5124290E-02 2.3832603E-02 1.1048831E-04 1.9899169E+00 1.8288016E+01 -2.3008595E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.6000000E+01 10 5.5217423E+01 1.4572107E-01 3.2401860E-01 -1.8485773E-03 1.0063297E-02 1.1308199E-02 1.0581132E-02 1.3025278E-03 1.4276159E-04 5.8254638E-03 2.4449087E-04 6.0103326E-03 4.5205204E-02 3.0057110E-02 1.4441178E-04 1.9894578E+00 1.8320904E+01 -2.3046799E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.7000000E+01 10 5.5217315E+01 1.4576933E-01 3.2410033E-01 -1.8465262E-03 1.0052205E-02 1.1296474E-02 1.0578414E-02 1.2863929E-03 1.4474013E-04 5.8108509E-03 2.4146228E-04 5.9909730E-03 4.5264554E-02 3.0023647E-02 1.4211824E-04 1.9860742E+00 1.8339379E+01 -2.3228077E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.2000000E+01 10 5.5219702E+01 1.3454088E-01 2.9777483E-01 -1.8060021E-03 7.8715156E-03 9.2680818E-03 8.5871831E-03 1.2198186E-03 1.2508288E-04 4.6769436E-03 2.2896594E-04 4.8642337E-03 4.6052270E-02 2.3509707E-02 1.0663367E-04 1.9539317E+00 1.8601176E+01 -2.5041609E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 7.7000000E+01 10 5.5214214E+01 1.3731329E-01 3.0386294E-01 -1.7558534E-03 7.9973071E-03 9.3308095E-03 8.6811410E-03 1.1638701E-03 1.3846684E-04 4.7083686E-03 2.1846413E-04 4.8784933E-03 4.7035135E-02 2.3884896E-02 1.3482240E-04 1.9367525E+00 1.8701872E+01 -2.6185517E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.2000000E+01 10 5.5209127E+01 1.4030462E-01 3.1029315E-01 -1.7119786E-03 8.1918370E-03 9.4295832E-03 8.8065814E-03 1.1160973E-03 1.5696751E-04 4.7800253E-03 2.0949694E-04 4.9322064E-03 4.7903587E-02 2.4465099E-02 1.6743095E-04 1.9287268E+00 1.8749754E+01 -2.6828145E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 8.7000000E+01 10 5.5205179E+01 1.4277921E-01 3.1561756E-01 -1.6784696E-03 8.3688879E-03 9.5280432E-03 8.9281266E-03 1.0747404E-03 1.7436637E-04 4.8464665E-03 2.0173405E-04 4.9828916E-03 4.8579694E-02 2.4993213E-02 1.9532433E-04 1.9248947E+00 1.8774651E+01 -2.7199734E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.1000000E+01 10 5.5201259E+01 1.4735384E-01 3.2594832E-01 -1.6578054E-03 8.9918394E-03 1.0044685E-02 9.4613329E-03 1.0450661E-03 1.9777581E-04 5.1437531E-03 1.9616405E-04 5.2622014E-03 4.9020674E-02 2.6853170E-02 2.3135758E-04 1.9166673E+00 1.8795249E+01 -2.7773734E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.2000000E+01 10 5.5196050E+01 1.5709556E-01 3.4868681E-01 -1.6530082E-03 1.0612359E-02 1.1529000E-02 1.0949675E-02 1.0378506E-03 2.3610801E-04 5.9537857E-03 1.9480966E-04 6.0518528E-03 4.9175817E-02 3.1693437E-02 2.9841508E-04 1.9140320E+00 1.8802935E+01 -2.7949677E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 9.7000000E+01 10 5.5196200E+01 1.4580218E-01 3.2339009E-01 -2.1595986E-03 8.3966894E-03 9.5383058E-03 8.9768125E-03 1.0059057E-03 1.9614135E-04 4.8217749E-03 1.8881345E-04 4.9376171E-03 5.0301722E-02 2.5075498E-02 2.2170358E-04 1.8911854E+00 1.8840190E+01 -2.9625567E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0200000E+02 10 5.5188188E+01 1.4892414E-01 3.3127204E-01 -2.8500894E-03 8.5490573E-03 9.6033993E-03 9.0578317E-03 9.7737511E-04 2.0747486E-04 4.8835971E-03 1.8345812E-04 4.9864931E-03 5.1710604E-02 2.5529843E-02 2.4103481E-04 1.8776703E+00 1.8867972E+01 -3.0837619E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0700000E+02 10 5.5181122E+01 1.5200157E-01 3.3881509E-01 -3.4581127E-03 8.7400033E-03 9.6909190E-03 9.1596816E-03 9.5170270E-04 2.1949507E-04 4.9668131E-03 1.7863928E-04 5.0562545E-03 5.2923970E-02 2.6099250E-02 2.5877503E-04 1.8706257E+00 1.8884976E+01 -3.1610958E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.1200000E+02 10 5.5175747E+01 1.5447801E-01 3.4482546E-01 -3.9121710E-03 8.9067800E-03 9.7742397E-03 9.2559817E-03 9.2845043E-04 2.3032543E-04 5.0388755E-03 1.7427471E-04 5.1166557E-03 5.3845560E-02 2.6596624E-02 2.7324297E-04 1.8668934E+00 1.8895106E+01 -3.2099757E-02
