x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605062E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 1.1068788E+01 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5329183E+01 1.8517679E-02 6.1368933E-02 -3.0392835E-03 0.0000000E+00 7.3370141E-03 1.3817023E-03 1.0668841E-02 0.0000000E+00 6.3225998E-03 2.0025938E-03 8.7449513E-03 1.0089483E-02 0.0000000E+00 0.0000000E+00 2.4302743E+00 1.7946738E+01 -5.9908761E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5311546E+01 3.1357080E-02 1.0260493E-01 -2.7624379E-03 1.0194944E-03 7.9664973E-03 3.2268034E-03 8.4910815E-03 1.4507469E-05 5.5339719E-03 1.5938178E-03 7.4719831E-03 1.8249100E-02 3.0486632E-03 1.4395052E-05 2.0309343E+00 1.8389157E+01 -1.6535638E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5289703E+01 5.5234257E-02 1.4998373E-01 -2.5177437E-03 2.5907668E-03 8.2891298E-03 4.6238781E-03 6.5662364E-03 3.4300661E-05 5.1785987E-03 1.2325149E-03 6.6704690E-03 2.5461660E-02 7.7433393E-03 3.6206055E-05 1.9029726E+00 1.8536679E+01 -2.3623184E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5271580E+01 7.6432351E-02 1.8917198E-01 -2.3317972E-03 4.0038039E-03 8.5015344E-03 5.6527665E-03 5.1035195E-03 5.4146400E-05 5.0229912E-03 9.5795571E-04 6.1637572E-03 3.0943081E-02 1.1963484E-02 5.5910321E-05 1.8437370E+00 1.8605154E+01 -2.8191641E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5258204E+01 9.2426975E-02 2.1850627E-01 -2.1987906E-03 5.1160806E-03 8.6777288E-03 6.4129877E-03 4.0572455E-03 7.1145997E-05 4.9646984E-03 7.6156493E-04 5.8487714E-03 3.4864206E-02 1.5284610E-02 7.1339120E-05 1.8141475E+00 1.8639168E+01 -3.1000928E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5248646E+01 1.0399733E-01 2.3978351E-01 -2.1054968E-03 5.9480213E-03 8.8381574E-03 6.9830655E-03 3.3233658E-03 8.4674678E-05 4.9507394E-03 6.2381211E-04 5.6521507E-03 3.7614733E-02 1.7768378E-02 8.2709421E-05 1.7990832E+00 1.8656393E+01 -3.2688417E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5241871E+01 1.1225298E-01 2.5509667E-01 -2.0400276E-03 6.5575138E-03 8.9866561E-03 7.4190366E-03 2.8083638E-03 9.5032611E-05 4.9541904E-03 5.2714370E-04 5.5263615E-03 3.9545019E-02 1.9587926E-02 9.0872801E-05 1.7914464E+00 1.8665114E+01 -3.3696826E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5237048E+01 1.1814453E-01 2.6616527E-01 -1.9935834E-03 7.0016309E-03 9.1232388E-03 7.7595539E-03 2.4430184E-03 1.0283139E-04 4.9626008E-03 4.5856657E-04 5.4428078E-03 4.0914434E-02 2.0913757E-02 9.6685610E-05 1.7876896E+00 1.8669443E+01 -3.4302107E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5233576E+01 1.2238035E-01 2.7425377E-01 -1.9600888E-03 7.3262444E-03 9.2476993E-03 8.0310879E-03 2.1795388E-03 1.0866051E-04 4.9707835E-03 4.0911014E-04 5.3847349E-03 4.1902067E-02 2.1882855E-02 1.0083338E-04 1.7859742E+00 1.8671475E+01 -3.4669108E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+01 10 5.5231039E+01 1.2546163E-01 2.8025250E-01 -1.9354557E-03 7.5654634E-03 9.3603108E-03 8.2518625E-03 1.9857664E-03 1.1300877E-04 4.9769483E-03 3.7273813E-04 5.3423755E-03 4.2628438E-02 2.2597048E-02 1.0381719E-04 1.7853275E+00 1.8672305E+01 -3.4894827E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.5000000E+01 10 5.5229154E+01 1.2773570E-01 2.8477810E-01 -1.9169510E-03 7.7438029E-03 9.4617645E-03 8.4345698E-03 1.8402020E-03 1.1627884E-04 4.9807919E-03 3.4541497E-04 5.3100003E-03 4.3174118E-02 2.3129513E-02 1.0598975E-04 1.7852300E+00 1.8672518E+01 -3.5036146E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 6.0000000E+01 10 5.5227726E+01 1.2944152E-01 2.8825569E-01 -1.9027423E-03 7.8786048E-03 9.5529814E-03 8.5881763E-03 1.7284319E-03 1.1875539E-04 4.9825762E-03 3.2443517E-04 5.2842008E-03 4.3593130E-02 2.3532013E-02 1.0759556E-04 1.7854017E+00 1.8672422E+01 -3.5126628E-02
